"latitude","longitude","address","name",":@computed_region_7ccj_gre3",":@computed_region_ecxu_fw7u",":@computed_region_izdr_ja4x",":@computed_region_5jki_au6x",":@computed_region_mnf4_kaez",":@computed_region_da6r_6gkw"
"53.428749796063194","-113.47568151042482","1203 ELLWOOD ROAD SW","27","359","81","9","7","4","12"
"53.60134565637725","-113.38694811633935","13808 Victoria Trail NW","18","144","184","2","3","7","4"
"53.555648590549175","-113.58984273975588","10949-156 Street NW","04","6","188","3","1","1","1"
"53.5265093579123","-113.68622546680321","9204 213 ST NW","29","222","158","3","4","1","1"
"53.52881511434489","-113.49201888338703","9315 - 101 Street","21","366","24","4","5","9","6"
"53.45920550280962","-113.59096637358441","131 Haddow Close NW","24","261","79","8","6","12","9"
"53.4543966858291","-113.50091512824577","2303-105 Street NW","20","281","173","6","6","2","10"
"53.53841691396087","-113.42863116023366","6110 - 98 AVE NW","11","23","123","7","5","11","8"
"53.41080418821162","-113.53858104975804","12110 26 AVENUE SW","28","310","82","8","6","12","9"
"53.570043266682674","-113.41929636540624","5025-118 Avenue NW","07","8","168","4","3","10","7"
"53.42545398091557","-113.60567743900096","3865 Allan Drive SW","31","306","78","8","6","12","9"
"53.45967114781248","-113.43504289801854","2904-66 Street NW","16","53","56","9","7","3","11"
"53.5421627279057","-113.53457932519804","10124-123 Street NW","22","182","144","4","5","9","6"
"53.49665351355735","-113.63038127788106","6210-178 Street NW","19","69","25","5","4","8","5"
"53.58549694439745","-113.49299660558522","12735-101 Street NW","10","36","223","1","2","5","2"
"53.5174048224084","-113.47626614165334","8105-96 Street NW","06","156","66","7","5","3","11"
"53.62821696669756","-113.47023107354963","8403-167 AVE","25","106","163","1","2","6","3"
"53.561295756335205","-113.48049338406081","9020-111 Avenue NW","05","42","150","4","3","10","7"
"53.52381364348464","-113.59080564515989","9020-156 Street NW","12","27","99","5","4","1","1"
"53.54788515684706","-113.48342629802026","10351-96 Street NW","01","154","153","4","5","9","6"
"53.60675415012312","-113.45357984857213","7312-144 Avenue","14","167","166","2","3","6","3"
"53.49439663510459","-113.41954918797457","5604-50 Street NW","09","270","131","7","5","3","11"
"53.512576545004585","-113.5220605540565","11226-76 Avenue NW","03","59","18","6","5","11","8"
"53.54305317494303","-113.62796231018741","10130-178 Street NW","23","113","86","3","1","1","1"
"53.61975843986504","-113.41704464554698","15850 - 50 St NW","30","153","189","2","2","7","4"
"53.458086377492066","-113.3927343947088","2803-34 St NW","26","230","134","7","7","4","12"
"53.54355029355009","-113.50414476290258","10217-107 Street NW","02","338","242","4","5","9","6"
"53.57016409023349","-113.5221513727204","8603 FLYING CLUB RD NW","08","209","221","3","1","5","2"
"53.4894576329681","-113.48046665366263","5120-97 Street NW","15","159","11","7","5","3","11"
"53.61762225743832","-113.51679519360515","15505 Castle Downs Road NW","17","192","236","1","2","6","3"
"53.477935812975545","-113.53804517969594","4035-119 Street NW","13","110","13","6","6","2","10"
