"dataset_id","title","publisher","records_count"
"2019-2022-capital-plan-and-2021-budget-and-funding","2019-2022 Capital Plan and 2021 Budget and funding","City of Vancouver",238
"2021-new-multi-year-capital-budget-requests-and-2021-capital-expenditure-budget","2021 new Multi-Year Capital Budget requests and 2021 Capital Expenditure Budget","City of Vancouver",496
"2022-new-multi-year-capital-budget-requests-and-2022-capital-expenditure-budget","2022 new Multi-Year Capital Budget requests and 2022 Capital Expenditure Budget","City of Vancouver",548
"2023-2026-capital-plan-and-2023-capital-budget-with-proposed-four-year-capital-p","2023-2026 Capital Plan and 2023 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",336
"2023-2026-capital-plan-and-2024-capital-budget-with-proposed-four-year-capital-0","2023-2026 Capital Plan and 2024 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",349
"2023-2026-capital-plan-and-2025-capital-budget-with-proposed-four-year-capital-0","2023-2026 Capital Plan and 2025 Capital Budget with proposed four-year Capital Plan allocations","City of Vancouver",362
"2023-2026-capital-plan-and-2026-capital-budget-with-proposed-four-year-capital-plan-allocations","2023-2026 Capital Plan and 2026 Capital Budget with proposed four-year Capital Plan allocations",NA,395
"2023-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2023 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",777
"2024-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2024 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",592
"2025-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2025 Multi-Year Capital Project Budget requests and Capital Expenditure Budget","City of Vancouver",740
"2026-multi-year-capital-project-budget-requests-and-capital-expenditure-budget","2026 Multi-Year Capital Project Budget requests and Capital Expenditure Budget",NA,630
"3-1-1-contact-centre-metrics","3-1-1 contact centre metrics","City of Vancouver",6161
"3-1-1-inquiry-volume","3-1-1 inquiry volume","City of Vancouver",63773
"3-1-1-service-requests","3-1-1 service requests","City of Vancouver",1195996
"3-1-1-service-requests-2009-2021","3-1-1 service requests 2009-2021","City of Vancouver",2083091
"abandoned-water-mains","Abandoned water mains","City of Vancouver",12902
"animal-control-inventory-lost-and-found","Animal control inventory - lost and found","City of Vancouver",18228
"animal-control-inventory-register","Animal control inventory - register","City of Vancouver",26480
"anonymous-ballot-marking","Anonymous ballot marking","City of Vancouver",4
"awarded-contracts","Awarded contracts","City of Vancouver",6550
"bike-lane-statistics-for-burrard-bridge-2009-2010","Bike lane statistics for Burrard Bridge 2009-2010","City of Vancouver",579
"bike-lane-statistics-for-hornby-dunsmuir-and-burrard-2009-2012","Bike lane statistics for Hornby, Dunsmuir and Burrard 2009-2012","City of Vancouver",1005
"bike-racks","Bike racks","City of Vancouver",1731
"bikeways","Bikeways","City of Vancouver",3705
"block-numbers","Block numbers","City of Vancouver",5806
"block-outlines","Block outlines","City of Vancouver",4633
"building-footprints-1999","Building footprints 1999","City of Vancouver",3259
"building-footprints-2009","Building footprints 2009","City of Vancouver",124181
"building-footprints-2015","Building Footprints 2015","City of Vancouver",154124
"business-improvement-areas-bia","Business improvement areas (BIA)","City of Vancouver",24
"business-licences","Business licences","City of Vancouver",202176
"business-licences-1997-to-2012","Business licences 1997 to 2012","City of Vancouver",958899
"business-licences-2013-to-2024","Business licences 2013 to 2024","City of Vancouver",782330
"census-local-area-profiles-2001","Census local area profiles 2001","City of Vancouver",0
"census-local-area-profiles-2006","Census local area profiles 2006","City of Vancouver",0
"census-local-area-profiles-2011","Census local area profiles 2011","City of Vancouver",0
"census-local-area-profiles-2016","Census local area profiles 2016","City of Vancouver",0
"city-boundary","City boundary","City of Vancouver",1
"city-owned-properties","City-owned properties","City of Vancouver",4455
"city-project-package-street","City project package - Street","City of Vancouver",359
"city-projects-package-site","City projects package - Site","City of Vancouver",936
"community-centres","Community centres","City of Vancouver",27
"community-food-markets-and-farmers-markets","Community food markets and farmers markets","City of Vancouver",91
"council-budget-and-expenses","Council budget and expenses","City of Vancouver",26
"council-meeting-minutes-archival","Council meeting minutes - archival","City of Vancouver",0
"council-voting-records","Council voting records","City of Vancouver",80722
"cultural-spaces","Cultural Spaces","City of Vancouver",1942
"dashboard-cards","Dashboard Cards","City of Vancouver",23
"dashboard-pages-and-categories","Dashboard Pages and Categories","City of Vancouver",12
"dedicated-fire-protection-systems-dfps-water-mains","Dedicated fire protection systems (DFPS) water mains","City of Vancouver",245
"designated-floodplain","Designated Floodplain","City of Vancouver",8
"development-cost-levy-dcl-areas","Development Cost Levy (DCL) areas","City of Vancouver",6
"digital-elevation-model","Digital elevation model","City of Vancouver",0
"directional-traffic-count-locations","Directional traffic count locations","City of Vancouver",6680
"disability-parking","Disability parking","City of Vancouver",159
"district-lot-numbers","District lot numbers","City of Vancouver",3786
"district-lot-outlines","District lot outlines","City of Vancouver",689
"dog-off-leash-parks","Dog off leash parks","City of Vancouver",51
"downtown-district-sub-areas","Downtown district sub areas","City of Vancouver",29
"drinking-fountains","Drinking fountains","City of Vancouver",278
"elected-officials-contact-information","Elected officials contact information","City of Vancouver",18
"electric-vehicle-charging-stations","Electric vehicle charging stations","City of Vancouver",55
"elevation-contour-lines-1-metre-contours","Elevation contour lines - 1-metre contours","City of Vancouver",5929
"elevation-contour-lines-10-metre-contours","Elevation contour lines - 10-metre contours","City of Vancouver",811
"elevation-contour-lines-2-metre-contours","Elevation contour lines - 2-metre contours","City of Vancouver",2093
"elevation-points","Elevation points","City of Vancouver",0
"employee-remuneration-and-expenses-earning-over-75000","Employee remuneration and expenses (earning over $75,000)","City of Vancouver",49742
"facet-grid-boundaries","Facet grid boundaries","City of Vancouver",621
"film-office-work-areas","Film office work areas","City of Vancouver",22
"fire-halls","Fire halls","City of Vancouver",20
"food-vendors","Food Vendors","City of Vancouver",91
"free-and-low-cost-food-programs","Free and low cost food programs","City of Vancouver",77
"garbage-collection-schedule-zones-for-multi-unit-residential-buildings","Garbage collection schedule zones for multi-unit residential buildings","City of Vancouver",0
"garbage-collection-schedule-zones-for-single-family-homes-and-duplexes","Garbage collection schedule zones for single family homes and duplexes","City of Vancouver",0
"goads-fire-insurance-map-1912-georectified","Goad's Fire Insurance Map 1912 (georectified)","City of Vancouver",100
"graffiti","Graffiti","City of Vancouver",7683
"greenways","Greenways","City of Vancouver",23
"gvrd-sewer-trunk-mains","GVRD sewer trunk mains","City of Vancouver",1657
"heritage-sites","Heritage sites","City of Vancouver",2495
"homeless-shelter-locations","Homeless shelter locations","City of Vancouver",17
"icis-data-package","ICIS data package","City of Vancouver",0
"indicator-data","Indicator Data","City of Vancouver",2280
"indicator-details","Indicator Details","City of Vancouver",23
"intersection-traffic-movement-counts","Intersection traffic movement counts","City of Vancouver",659
"issued-building-permits","Issued building permits","City of Vancouver",50798
"issued-operating-permits-water-systems-","Issued operating permits – water systems","City of Vancouver",1240
"lanes","Lanes","City of Vancouver",7853
"legal-lot-numbers","Legal lot numbers","City of Vancouver",111813
"libraries","Libraries","City of Vancouver",22
"lidar-2013","LiDAR 2013","City of Vancouver",168
"lidar-2018","LiDAR 2018","City of Vancouver",181
"lidar-2022","LiDAR 2022","City of Vancouver",181
"local-area-boundary","Local area boundary","City of Vancouver",22
"motorcycle-parking","Motorcycle parking","City of Vancouver",199
"mountain-view-cemetery-burial-index","Mountain View Cemetery burial index","City of Vancouver",149862
"municipal-election-results","Municipal election results","City of Vancouver",13
"noise-control-areas","Noise control areas","City of Vancouver",3
"non-city-streets","Non-City streets","City of Vancouver",953
"non-market-housing","Non-market housing","City of Vancouver",641
"olympic-city-sites","Olympic City sites","City of Vancouver",5
"olympic-transportation-plan-no-stopping-areas","Olympic transportation plan no stopping areas","City of Vancouver",64
"olympic-transportation-plan-olympic-lanes","Olympic transportation plan olympic lanes","City of Vancouver",10
"olympic-transportation-plan-parking-restrictions","Olympic transportation plan parking restrictions","City of Vancouver",25
"olympic-transportation-plan-pedestrian-corridors","Olympic transportation plan pedestrian corridors","City of Vancouver",5
"olympic-transportation-plan-truck-routes","Olympic transportation plan truck routes","City of Vancouver",0
"olympic-transportation-plan-venue-closure-areas","Olympic transportation plan venue closure areas","City of Vancouver",7
"olympic-transportation-plan-venue-closure-roads","Olympic transportation plan venue closure roads","City of Vancouver",29
"olympic-venues","Olympic venues","City of Vancouver",10
"one-way-streets","One way streets","City of Vancouver",314
"open-data-change-log","Open data change log","City of Vancouver",195
"operating-permits-water-systems-water-quality-reports","Operating permits - water systems — water quality reports","City of Vancouver",33530
"orthophoto-imagery-2006","Orthophoto imagery 2006","City of Vancouver",0
"orthophoto-imagery-2008","Orthophoto imagery 2008","City of Vancouver",0
"orthophoto-imagery-2009","Orthophoto imagery 2009","City of Vancouver",0
"orthophoto-imagery-2011","Orthophoto imagery 2011","City of Vancouver",0
"orthophoto-imagery-2013","Orthophoto imagery 2013","City of Vancouver",527
"orthophoto-imagery-2015","Orthophoto imagery 2015","City of Vancouver",463
"orthophoto-imagery-2022","Orthophoto imagery 2022","City of Vancouver",470
"parking-meters","Parking meters","City of Vancouver",3758
"parking-tickets","Parking tickets","City of Vancouver",2500500
"parking-tickets-2010-2013","Parking tickets 2010-2013","City of Vancouver",1091149
"parking-tickets-2014-2016","Parking tickets 2014-2016","City of Vancouver",1169233
"parking-tickets-2017-2019","Parking tickets 2017-2019","City of Vancouver",1318735
"parks","Parks","City of Vancouver",218
"parks-facilities","Parks facilities","City of Vancouver",645
"parks-polygon-representation","Parks - polygon representation","City of Vancouver",254
"parks-special-features","Parks special features","City of Vancouver",26
"pavement-condition-rating","Pavement condition rating","City of Vancouver",9016
"pavement-condition-rating-major-road-network","Pavement condition rating - major road network","City of Vancouver",5404
"property-addresses","Property addresses","City of Vancouver",99769
"property-cadastral-boundaries","Property cadastral boundaries","City of Vancouver",321835
"property-easements","Property easements","City of Vancouver",13139
"property-parcel-polygons","Property parcel polygons","City of Vancouver",99726
"property-tax-report","Property tax report","City of Vancouver",1552593
"property-tax-report-2006-2010","Property tax report 2006-2010","City of Vancouver",892028
"property-tax-report-2011-2015","Property tax report 2011-2015","City of Vancouver",976762
"property-tax-report-2016-2019","Property tax report 2016-2019","City of Vancouver",832969
"property-tie-lines","Property tie lines","City of Vancouver",3151
"property-use-inspection-districts","Property use inspection districts","City of Vancouver",23
"public-art","Public art","City of Vancouver",747
"public-art-artists","Public art - Artists","City of Vancouver",635
"public-streets","Public streets","City of Vancouver",17070
"public-trees","Public trees","City of Vancouver",186362
"public-washrooms","Public washrooms","City of Vancouver",147
"railways","Railways","City of Vancouver",936
"rapid-transit-lines","Rapid transit lines","City of Vancouver",3
"rapid-transit-stations","Rapid transit stations","City of Vancouver",22
"rental-standards-current-issues","Rental standards - current issues","City of Vancouver",468
"right-of-way-widths","Right-of-way widths","City of Vancouver",26852
"road-ahead-current-road-closures","Road Ahead current road closures","City of Vancouver",14
"road-ahead-projects-under-construction","Road Ahead projects under construction","City of Vancouver",49
"road-ahead-upcoming-projects","Road Ahead upcoming projects","City of Vancouver",286
"schools","Schools","City of Vancouver",194
"service-metrics","Service metrics","City of Vancouver",328
"sewer-catch-basins","Sewer catch basins","City of Vancouver",44855
"sewer-mains","Sewer mains","City of Vancouver",39928
"sewer-manholes","Sewer manholes","City of Vancouver",35943
"shoreline-2002","Shoreline 2002","City of Vancouver",2
"sidewalk-condition-rating","Sidewalk condition rating","City of Vancouver",15580
"snow-removal-routes","Snow removal routes","City of Vancouver",269
"storefronts-inventory","Storefronts inventory","City of Vancouver",52030
"street-intersections","Street intersections","City of Vancouver",6125
"street-lighting-abandoned-conduits","Street lighting abandoned conduits","City of Vancouver",774
"street-lighting-conduits","Street lighting conduits","City of Vancouver",65449
"street-lighting-junction-boxes","Street lighting junction boxes","City of Vancouver",7839
"street-lighting-poles","Street lighting poles","City of Vancouver",57925
"street-lighting-service-panels","Street lighting service panels","City of Vancouver",1452
"street-operations-district-maintenance-areas","Street operations district maintenance areas","City of Vancouver",2
"subdivision-category-areas","Subdivision category areas","City of Vancouver",388
"traffic-signals","Traffic signals","City of Vancouver",966
"truck-routes","Truck routes","City of Vancouver",2
"view-cones","View cones","City of Vancouver",24
"voting-division-boundaries-2008","Voting division boundaries 2008","City of Vancouver",133
"voting-division-boundaries-2011","Voting division boundaries 2011","City of Vancouver",135
"voting-places-2011","Voting places 2011","City of Vancouver",142
"voting-places-2014","Voting places 2014","City of Vancouver",125
"voting-places-2017","Voting places 2017","City of Vancouver",52
"voting-places-2018","Voting places 2018","City of Vancouver",126
"voting-places-2022","Voting places 2022","City of Vancouver",104
"voting-places-2025","Voting places 2025","City of Vancouver",26
"water-control-valves","Water control valves","City of Vancouver",21170
"water-distribution-mains","Water distribution mains","City of Vancouver",67194
"water-hydrants","Water hydrants","City of Vancouver",6590
"water-pressure-zones","Water pressure zones","City of Vancouver",9
"water-transmission-mains","Water transmission mains","City of Vancouver",3003
"wayfinding-map-stands","Wayfinding map stands","City of Vancouver",216
"web-cam-url-links","Web Cam (URL links)","City of Vancouver",215
"weekend-playfield-status","Weekend playfield status","City of Vancouver",83
"workforce-pay-rates-and-gender","Workforce pay rates and sex","City of Vancouver",6344
"zoning-districts-and-labels","Zoning districts and labels","City of Vancouver",1618
